,Unnamed: 0,EmbryoID,Position,Membrane signal,Cytoplasmic signal
235,35,2,35,271.88037,0.04818945
236,36,2,36,-20.65547,0.04818945
237,37,2,37,239.2072,0.04818945
238,38,2,38,-20.65547,0.04818945
239,39,2,39,-20.65547,0.04818945
240,40,2,40,201.04828,0.04818945
241,41,2,41,-20.65547,0.04818945
242,42,2,42,-20.65547,0.04818945
243,43,2,43,-0.36261612,0.04818945
244,44,2,44,78.7932,0.04818945
245,45,2,45,-20.655472,0.04818945
246,46,2,46,-0.15382291,0.04818945
247,47,2,47,-20.655472,0.04818945
248,48,2,48,-20.655472,0.04818945
249,49,2,49,-0.22901829,0.04818945
250,50,2,50,371.9027,0.04818945
251,51,2,51,202.70721,0.04818945
252,52,2,52,190.99342,0.04818945
253,53,2,53,80.90502,0.04818945
254,54,2,54,-20.655472,0.04818945
255,55,2,55,237.03336,0.04818945
256,56,2,56,-20.65547,0.04818945
257,57,2,57,-20.655472,0.04818945
258,58,2,58,-1.016423,0.04818945
259,59,2,59,178.75848,0.04818945
260,60,2,60,-20.655472,0.04818945
261,61,2,61,-20.655472,0.04818945
262,62,2,62,-20.65547,0.04818945
263,63,2,63,-20.655472,0.04818945
264,64,2,64,-20.65547,0.04818945
265,65,2,65,212.32591,0.04818945
266,66,2,66,-20.655472,0.04818945
267,67,2,67,-20.65547,0.04818945
268,68,2,68,-20.655472,0.04818945
269,69,2,69,205.06168,0.04818945
270,70,2,70,-20.655472,0.04818945
271,71,2,71,165.34236,0.04818945
272,72,2,72,-20.655472,0.04818945
273,73,2,73,-20.65547,0.04818945
274,74,2,74,262.06866,0.04818945
275,75,2,75,74.90222,0.04818945
276,76,2,76,-20.65547,0.04818945
277,77,2,77,99.04829,0.04818945
278,78,2,78,531.23865,0.04818945
279,79,2,79,479.39026,0.04818945
280,80,2,80,240.52507,0.04818945
281,81,2,81,339.71332,0.04818945
282,82,2,82,305.39117,0.04818945
283,83,2,83,157.65085,0.04818945
284,84,2,84,458.2105,0.04818945
285,85,2,85,321.2284,0.04818945
286,86,2,86,-20.65547,0.04818945
287,87,2,87,327.77155,0.04818945
288,88,2,88,-20.65547,0.04818945
289,89,2,89,465.0609,0.04818945
290,90,2,90,-20.655472,0.04818945
291,91,2,91,91.88248,0.04818945
292,92,2,92,341.12674,0.04818945
293,93,2,93,-20.014624,0.04818945
294,94,2,94,-20.655472,0.04818945
295,95,2,95,583.03436,0.04818945
296,96,2,96,58.34244,0.04818945
297,97,2,97,472.29422,0.04818945
298,98,2,98,449.65192,0.04818945
299,99,2,99,164.37746,0.04818945
300,0,3,0,-17.125349,-5.5169797
301,1,3,1,-17.12535,-5.5169797
302,2,3,2,-17.125349,-5.5169797
