,EmbryoID,Position,Membrane signal,Cytoplasmic signal
30,7,30,1884.4816,324.67175
31,7,31,2006.5026,324.67175
32,7,32,1913.1697,324.67175
33,7,33,1641.555,324.67175
34,7,34,1877.262,324.67175
35,7,35,2256.1345,324.67175
36,7,36,1870.7405,324.67175
37,7,37,2041.4702,324.67175
38,7,38,1933.8506,324.67175
39,7,39,1811.0004,324.67175
40,7,40,1643.9607,324.67175
41,7,41,1720.4789,324.67175
42,7,42,1300.1277,324.67175
43,7,43,1718.99,324.67175
44,7,44,1981.4165,324.67175
45,7,45,2039.666,324.67175
46,7,46,2141.4905,324.67175
47,7,47,1991.1465,324.67175
48,7,48,2248.8699,324.67175
49,7,49,2338.977,324.67175
50,7,50,1819.7097,324.67175
51,7,51,2292.2217,324.67175
52,7,52,2622.3003,324.67175
53,7,53,2009.5048,324.67175
54,7,54,2092.7395,324.67175
55,7,55,2009.5616,324.67175
56,7,56,2163.2468,324.67175
57,7,57,1957.9283,324.67175
58,7,58,1923.7306,324.67175
59,7,59,1931.8423,324.67175
60,7,60,2041.8241,324.67175
61,7,61,1931.0825,324.67175
62,7,62,2047.3864,324.67175
63,7,63,2181.4238,324.67175
64,7,64,2318.6143,324.67175
65,7,65,1751.1625,324.67175
66,7,66,2140.1665,324.67175
67,7,67,2130.8047,324.67175
68,7,68,2244.4297,324.67175
69,7,69,1778.1764,324.67175
70,7,70,2373.8477,324.67175
71,7,71,2438.9514,324.67175
72,7,72,2055.113,324.67175
73,7,73,1669.8108,324.67175
74,7,74,1729.9928,324.67175
75,7,75,1331.2471,324.67175
76,7,76,2029.7617,324.67175
77,7,77,2026.9514,324.67175
78,7,78,1958.1985,324.67175
79,7,79,2029.2858,324.67175
80,7,80,1810.5807,324.67175
81,7,81,1859.2958,324.67175
82,7,82,1676.866,324.67175
83,7,83,1701.6013,324.67175
84,7,84,2028.291,324.67175
85,7,85,1465.5919,324.67175
86,7,86,1304.8925,324.67175
87,7,87,2085.0588,324.67175
88,7,88,1946.291,324.67175
89,7,89,1736.5001,324.67175
90,7,90,1654.5787,324.67175
91,7,91,1823.0518,324.67175
92,7,92,1879.3954,324.67175
93,7,93,2292.4934,324.67175
94,7,94,1404.8854,324.67175
95,7,95,2021.8335,324.67175
